,0
0,0.0
1,0.0
2,1.3806208878364146e-05
3,3.2919222903160517e-11
4,1.2243495106645241e-10
5,0.0
6,0.0
7,2.0583089521686304e-07
8,1.0959905916152479e-07
9,4.5984105412344434e-11
10,2.2500376717360382e-07
11,1.4633294150634413e-05
12,2.2715163083830703e-13
13,2.9335470919100715e-06
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,1.1363048657564434e-07
20,4.440892098500626e-16
21,2.1671553440683056e-13
22,2.4280984334268396e-08
23,0.09636716342918605
24,0.0
25,0.0
26,9.072944617827261e-10
27,0.0
28,1.960309008230965e-06
29,0.00011454729453452828
30,2.6740785141754486e-09
31,0.0
32,1.7116612127665576e-07
33,2.0953991475280986e-07
34,2.8794187922898118e-08
35,1.41886502547095e-13
36,4.3199532839821586e-10
37,4.440892098500626e-16
38,3.7004891551006835e-07
39,0.0
40,1.48799461641147e-09
41,0.0
42,3.207945020733405e-10
43,3.197442310920451e-14
44,0.0
45,1.82964366546301e-07
46,2.3439239882350194e-08
47,1.6389555978379988e-05
48,3.064215547965432e-14
49,0.0
50,2.1893598045608087e-13
51,9.301637460268353e-08
52,0.0
53,7.950813341039975e-10
54,0.0
55,0.0
56,0.0
57,1.3227351773892337e-06
58,3.1041835768519377e-13
59,5.786846153377212e-07
60,9.023226610338497e-12
61,0.0
62,8.838085818752006e-11
63,2.4190932945700183e-07
64,0.0
65,2.8101965199311962e-12
66,2.1252322346398955e-08
67,0.0
68,1.2390088954816747e-13
69,1.0884626533425035e-12
70,0.0
71,3.19371196155771e-11
72,2.8487464853732547e-06
73,0.0
74,0.0033503564229815375
75,0.0
76,2.0959269875220343e-08
77,6.678714425945032e-08
78,1.0810354122980925e-07
79,1.0238787595540089e-09
80,0.0009034628456874305
81,4.440892098500626e-16
82,1.3669065879184927e-12
83,0.0
84,0.0
85,0.0
86,6.365987736955958e-10
87,5.934508870986122e-07
88,6.3133609451426764e-09
89,4.440892098500626e-16
90,2.1621939305660476e-07
91,7.499234681240807e-06
92,0.005704712142462709
93,6.78822622057762e-05
94,1.3322676295501878e-15
95,2.0614621121239907e-11
96,5.738121089393644e-11
97,0.0011913146249287188
98,0.0028514946025899324
99,3.5539140519347256e-08
100,2.531110056835928e-05
101,1.7226637893941188e-09
102,3.5222405219137443e-06
103,0.0
104,5.300013761200262e-10
105,4.2235277998514675e-05
106,1.0832321706288894e-08
107,0.0
108,7.852791957163596e-05
109,0.0
110,4.3298697960381105e-13
111,4.587301164793445e-05
112,7.434718724952383e-05
113,0.0
114,0.000666628634251154
115,0.002334485938311648
116,5.631380379789164e-07
117,1.094486369757064e-06
118,1.1102230246251565e-15
119,3.694822225952521e-13
120,3.983841344590289e-06
121,0.00019657958961638577
122,1.1290021621146451e-05
123,8.881784197001252e-15
124,4.458857283395901e-09
125,1.7235247140590104e-07
126,3.47517570276068e-11
127,0.00025920841711446485
128,0.0027119822152039674
129,1.3599787962448318e-11
130,4.288569499522055e-12
131,9.986647064863519e-10
132,0.0018076412585781299
133,8.514819824334552e-06
134,0.00036378702012784814
135,9.339773399119622e-11
136,5.684416559681438e-08
137,0.0
138,6.448175327022909e-13
139,0.0
140,0.0
141,4.788335061789439e-09
142,5.49706946628703e-11
143,0.0012754230274611977
144,3.51085107253013e-06
145,0.0003362739456380659
146,0.0
147,5.773159728050814e-15
148,5.17819920275997e-09
149,0.0
150,2.077746040329842e-06
151,4.382979090777894e-08
152,8.356969187595098e-05
153,3.974393506034346e-05
154,3.6044992191008873e-07
155,0.0
156,0.0
157,3.2324320997645373e-10
158,0.0
159,8.071765478234738e-12
160,5.1597638166533955e-06
161,4.1744385725905886e-13
162,1.4477308241112041e-13
163,1.7054180290188015e-10
164,9.889755681058432e-11
165,0.0
166,0.00023640322841522732
167,0.015595627417888114
168,0.0
169,1.3322676295501878e-14
170,4.696687483374262e-12
171,0.0
172,7.219666064983699e-08
173,4.6629367034256575e-14
174,0.0
175,6.500030025335946e-08
176,0.0
177,0.0
178,0.0007543095680033751
179,0.0
180,1.0856792664881709e-07
181,4.4675960841900064e-07
182,1.2202690369278457e-07
183,1.9692789621217344e-09
184,1.997005227849513e-09
185,3.678665043338469e-05
186,0.0
187,6.0893512454640586e-12
188,2.6900846308741677e-05
189,0.007755661262739633
190,3.1086244689504383e-15
191,0.0001872713075492527
192,0.0002634634308871231
193,0.0
194,0.0
195,9.15179043659009e-12
196,1.5817512277749302e-07
197,3.1086244689504383e-15
198,1.925564281468617e-05
199,3.5407197174208704e-09
200,4.440892098500626e-16
201,1.1102230246251565e-15
202,0.0
203,0.0
204,9.68447544380524e-12
205,7.5169220630222355e-06
206,0.0
207,0.00018139134422190395
208,5.260503144199902e-11
209,1.0720164139943478e-05
210,7.498002219108457e-12
211,6.977270795127666e-06
212,1.4503167812485174e-05
213,5.999645225074346e-13
214,2.4841906309802653e-11
215,6.57411014515219e-10
216,0.0032632567010679736
217,0.0
218,0.0
219,1.0460521338018225e-11
220,1.1041160468572286e-05
221,4.525269048372138e-13
222,1.5968284472478445e-09
223,7.776255195324211e-09
224,0.0007801371104494415
225,7.091700772843268e-06
226,1.687538997430238e-14
227,5.3239046504671705e-09
228,1.2434497875801753e-14
229,1.2148060335448463e-11
230,0.03662898076329513
231,0.0
232,0.0
233,1.6597456742317718e-10
234,1.7372245864066826e-09
235,0.0
236,0.0
237,0.0
238,4.440892098500626e-16
239,0.0
240,1.3097029682995753e-08
241,6.902922677909373e-12
242,2.220446049250313e-16
243,0.0
244,3.997913111675189e-12
245,0.0
246,9.12721009882489e-11
247,1.4900747302704076e-11
248,1.55284070046946e-08
249,0.0
250,4.6275427934006075e-11
251,8.022946462737934e-06
252,0.003498667004281586
253,2.7043998152009863e-09
254,1.5551251619783102e-08
255,5.799536282768969e-06
256,0.00015688022228088627
257,4.4406117901019115e-05
258,0.0
259,0.00011808805928215094
260,0.002645643194721048
261,0.0
262,0.0
263,7.004187452253063e-09
264,0.0
265,0.00012077680433497662
266,2.575576263508239e-05
267,0.0
268,8.382183835919932e-13
269,7.677748077972169e-06
270,0.0
271,0.0
272,0.0
273,1.9768365128847165e-05
274,0.00019513384170743997
275,4.512413015245187e-06
276,0.0
277,0.0016694011992957059
278,0.00032880974799986973
279,0.0028839382705052596
280,0.0
281,9.139733414542661e-11
282,2.540190280342358e-13
283,9.297564059829178e-05
284,7.327471962526033e-15
285,1.206457764579838e-05
286,0.0
287,4.0064209794188343e-07
288,0.0007327893067152758
289,1.7523929440876884e-06
290,7.3581460329208426e-06
291,1.8918200339612667e-13
292,8.881784197001252e-16
293,0.013528635826870916
294,2.3436180551783536e-08
295,2.746253342511551e-07
296,0.0
297,2.6118269769170865e-09
298,4.444577814410877e-05
299,0.002667133533724275
300,0.003957350864986164
301,1.3677947663381929e-13
302,2.1393217877196946e-06
